ORB,SIFT,AKAZE
80.4,81.0296191819464,92.57592800899887
87.6,88.3638928067701,93.43148357870895
90.60000000000001,91.01203113941966,93.53007945516458
84.8,84.28874734607218,91.44144144144144
81.0,86.54929577464789,92.22972972972973
72.0,83.26300984528832,89.67452300785635
80.60000000000001,85.0914205344585,92.48035914702581
86.6,88.81118881118881,92.38521836506159
79.80000000000001,84.54545454545455,90.70548712206048
87.6,90.28571428571428,92.81705948372615
84.6,85.04672897196261,91.70454545454545
74.6,79.29036929761043,89.35926773455377
85.2,86.40636297903109,87.61363636363636
87.2,89.27038626609442,88.87640449438202
79.2,85.05007153075823,88.42696629213484
76.2,86.47686832740213,88.04100227790433
80.4,84.55516014234875,86.10478359908885
83.0,85.05190311418686,88.57142857142857
76.0,81.66089965397923,86.97142857142856
82.0,86.26062322946176,89.01734104046243
78.8,83.2394366197183,90.1035673187572
90.2,92.46478873239437,92.61363636363636
78.4,80.32670454545455,88.09523809523809
82.8,84.89767113620324,90.81632653061224
88.4,90.99225897255454,93.77880184331798
84.39999999999999,86.08573436401967,92.79176201372998
91.0,90.96638655462185,94.05034324942791
84.39999999999999,84.80392156862744,91.95402298850574
86.4,86.49965205288797,91.94476409666284
86.2,88.16608996539792,92.43119266055045
87.0,89.8961937716263,93.92201834862385
83.0,88.08038808038809,94.00230680507498
83.39999999999999,83.06620209059233,92.35225955967556
82.0,80.73970690858339,90.55299539170507
87.6,91.09874826147427,94.50800915331807
74.2,81.50208623087622,91.30434782608695
88.4,91.11888111888112,93.40159271899886
79.0,85.03496503496504,91.35381114903299
81.6,85.0354609929078,92.10526315789474
83.8,85.45972915181753,91.25431530494822
88.4,90.86437104708362,95.46511627906978
85.2,90.4463040446304,93.80733944954129
82.6,87.25626740947075,93.46330275229357
74.2,78.76943881000676,89.03002309468823
80.60000000000001,84.85463150777552,90.25522041763341
89.2,89.2663043478261,95.1219512195122
86.8,89.01933701657458,93.6268829663963
81.39999999999999,83.69188063844553,91.02416570771001
77.2,81.88865398167724,91.62844036697247
80.0,84.21052631578947,92.42937853107345
83.6,86.66201117318437,92.54237288135593
